Model,Backbone Init,Test mIoU,Pet IoU,Dice/F1,Pixel Accuracy,Foreground Precision,Foreground Recall,Parameter Count,Inference Time / Image (sec),Training Time / Epoch (sec)
FCN-ResNet18,pretrained,0.924344,0.912446,0.954219,0.961694,0.964483,0.944171,11551233,0.191867,1512.341113
SegNet-VGG16,pretrained,0.912203,0.897961,0.946238,0.955348,0.963736,0.929364,29464129,2.33313,405.918451
HRNet-W18,pretrained,0.9305900275570673,0.91977725279277,0.9582124712174149,0.9649503494225266,0.9661172068937234,0.9504360382894972,11444821,0.06334639750994028,369.45137915629994
